Index,Country,CityCode,CityName,Name,Longitude,Latitude,pop1975,pop1980,pop1990,pop2000,pop2010,pop2020,pop2025,pop2030,pop2040,pop2050,gr1975,gr2000,gr2020,gr2025,gr2050,nr1975,nr2000,nr2020,nr2025,nr2050
2531,Singapore,165,Singapore,Singapore,103.8449235,1.344683874,2,2.2,2.7,3.5,4.4,4.8,5,5.1,5.2,5.1,67,69,84,84,104,1,1,1,1,1
954,Democratic Republic of the Congo,5196,Kasaï-Oriental,Kasaï-Oriental,23.59846906,-6.122796586,0.9,1,1.4,1.9,2.6,3.4,3.6,4,4.5,5.1,198,170,132,130,105,2,2,2,2,3
2924,Uzbekistan,3082,Toshkent (Tashkent),Tashkent,69.25891274,41.23935182,2.1,2.3,2.8,3,3.2,3.6,3.9,4.2,4.6,5.1,62,87,117,117,106,1,1,1,1,1
673,China,10098,Shenyang,Shenyang,123.3889892,41.79681571,3.8,3.9,4,4.6,5.2,5.8,5.7,5.6,5.3,5.1,28,47,66,67,107,3,9,13,13,13
99,Bangladesh,6721,Brahmanbaria,Brahmanbaria,90.98006514,24.04658674,0.6,0.6,0.9,1.5,2,2.4,2.9,3.4,4.3,5,334,225,198,169,108,3,4,4,4,4
2069,Morocco,2076,Casablanca,Casablanca,-7.542605805,33.58184114,1.7,2.1,2.7,3.2,3.8,4.3,4.5,4.6,4.8,5,79,83,93,94,109,1,1,1,1,1
2952,Viet Nam,1975,Hà Nội (Hanoi),Hanoi,105.8369127,21.01180488,1.5,1.8,2.2,3,4.3,5.1,5.1,5,4.9,4.8,101,84,76,81,110,2,2,2,2,2
1663,India,10447,Varanasi,Varanasi,83.00503634,25.31309531,1.7,1.9,2.2,2.9,3.3,3.7,3.9,4.1,4.5,4.8,83,93,111,119,111,10,14,16,16,14
735,China,8371,Xi'an,Xi'an,108.9468419,34.25487492,1.5,1.7,2.8,4,4.7,5.3,5.2,5.2,5,4.7,94,56,70,77,112,12,12,14,14,14
2469,Russian Federation,568,Saint Petersburg,Saint Petersburg,30.33777403,59.9340629,3.7,3.9,4.2,4,4.1,4.8,4.7,4.7,4.7,4.7,30,57,85,91,113,2,2,2,2,2
2172,Nigeria,2996,Ibadan,Ibadan,3.922492695,7.378680978,0.8,1,1.5,2.1,2.8,3.5,3.7,3.9,4.3,4.7,223,151,121,123,114,2,4,4,5,5
1421,India,9603,Kanpur,Kanpur,80.34061954,26.46094978,2.1,2.3,2.9,3.8,4.3,4.2,4.3,4.4,4.6,4.6,64,60,94,97,115,9,9,14,14,15
85,Australia,2139,Sydney,Sydney,151.0789651,-33.85899052,2.2,2.3,2.7,2.9,3.3,4.1,4.2,4.3,4.4,4.6,58,94,100,107,116,1,1,1,1,1
